stock_code,open,close,pre_close,high,low,volume,money,paused,display_name,close_pct_chg
000001.XSHE,24.6,23.82,24.58,24.96,23.38,191886710.0,4569741959.9,0.0,平安银行,-3.0918999999999954
000002.XSHE,28.61,28.83,28.75,28.98,28.35,65214896.0,1874968653.27,0.0,万科A,0.27830000000000155
000004.XSHE,16.93,17.0,16.93,17.32,16.7,1620400.0,27577802.0,0.0,国华网安,0.4134999999999991
000005.XSHE,1.89,1.9,1.87,1.91,1.87,4179950.0,7934657.5,0.0,世纪星源,1.604299999999995
000006.XSHE,4.83,4.85,4.84,4.87,4.82,3945559.0,19117135.5,0.0,深振业A,0.20659999999999457
000007.XSHE,2.49,2.52,2.52,2.54,2.49,10339300.0,25992238.0,0.0,全新好,0.0
000008.XSHE,2.21,2.24,2.22,2.27,2.2,11430382.0,25608452.68,0.0,神州高铁,0.9008999999999929
000009.XSHE,8.11,8.15,8.09,8.26,8.06,66984370.0,546952064.23,0.0,中国宝安,0.7416999999999945
000010.XSHE,3.72,3.68,3.7,3.72,3.68,3178300.0,11739889.0,0.0,美丽生态,-0.5404999999999944
000011.XSHE,9.93,10.06,9.93,10.21,9.87,3748375.0,37681177.22,0.0,深物业A,1.3092000000000041
