index_name,close,close_pct_chg,high,low,money,name,open,volume
000001.XSHG,3696.17,0.005662030386138994,3699.65,3634.01,484990205753.6,上证指数,3661.78,36105980400.0
000002.XSHG,3874.58,0.0056530315614617965,3878.25,3809.42,484380225787.0,A股指数,3838.55,36059659900.0
000004.XSHG,3352.87,0.0019723453277828984,3358.22,3278.41,345888642121.2,工业指数,3331.13,23262926000.0
000010.XSHG,11724.44,0.0020794676289368486,11744.12,11534.23,251480056964.0,上证180,11648.56,13504609800.0
000009.XSHG,6130.21,0.010245482890686386,6133.16,5986.76,107756295852.0,上证380,6055.57,8549713900.0
000008.XSHG,3170.04,0.006924503849770058,3171.32,3135.44,87352505913.4,综合指数,3139.44,6992937600.0
000007.XSHG,4191.94,0.02911362883130586,4192.59,4061.24,16147489656.5,公用指数,4063.41,2648081000.0
000005.XSHG,3317.02,0.007750242290012643,3320.87,3264.74,31280567371.3,商业指数,3284.87,2611295000.0
000006.XSHG,6278.23,0.021471594107635994,6283.97,6117.63,4321000691.1,地产指数,6130.51,590740900.0
000003.XSHG,247.77,0.011884342073021248,247.77,243.45,232817482.6,B股指数,244.79,42255100.0
